ppm,C1211,C1212,C1213,C1214,C1215,C1231,C1232,C1233,C1234,C1235
3.85293,0.001379186,0.002025358,0.001970377,0.000902569,0.00132501,0.00092893,0.00109891,0.000993975,0.001287876,0.001412614
3.85168,0.001268309,0.002002729,0.001959557,0.0008648,0.001280995,0.000881779,0.001029014,0.000961191,0.001230888,0.001380789
3.85043,0.001187446,0.001951753,0.001929457,0.000841023,0.001250135,0.000847884,0.000989902,0.000935606,0.001223237,0.001349088
3.84918,0.001144277,0.001879656,0.00188372,0.000832501,0.001235001,0.000830902,0.000983866,0.000917909,0.001252698,0.001320077
3.84793,0.001135117,0.001799856,0.001830769,0.000838311,0.001236306,0.000830514,0.001005691,0.000908427,0.001303213,0.001294618
3.84667,0.001152787,0.001726509,0.001778677,0.000857365,0.001254911,0.000844676,0.00104682,0.000908445,0.001364071,0.00127347
3.84542,0.001193856,0.001670906,0.001733286,0.000889216,0.001291418,0.000871092,0.001099079,0.000920201,0.001433508,0.001260508
3.84417,0.001259606,0.001640811,0.001700346,0.000932267,0.00134311,0.00090759,0.001157016,0.000944337,0.001512908,0.00126132
3.84292,0.001349144,0.00163808,0.001684522,0.00098103,0.001401649,0.000951263,0.001217687,0.000977008,0.001597379,0.001277396
3.84167,0.001451648,0.001655508,0.001684496,0.001026117,0.001455042,0.000997086,0.001277925,0.001010303,0.001673405,0.001302716
3.84042,0.001547025,0.00167872,0.001691145,0.001058043,0.001492777,0.001037704,0.001331935,0.001036157,0.001725947,0.001327004
3.83916,0.001615601,0.001693852,0.001692826,0.001071746,0.00150983,0.001065525,0.001372021,0.001050115,0.001746934,0.001342268
3.83791,0.001647761,0.001694952,0.001683316,0.001067835,0.001506559,0.001075735,0.001391833,0.001051642,0.001736842,0.00134611
3.83666,0.001645227,0.001684724,0.001664838,0.001050038,0.00148558,0.001067725,0.001388847,0.001041361,0.001699743,0.001339099
3.83541,0.001614867,0.001668149,0.001643193,0.001021637,0.001448774,0.001044163,0.001364231,0.001018441,0.00163838,0.001319878
3.83416,0.001562281,0.001644735,0.001619658,0.000983839,0.001396767,0.001009008,0.001320958,0.000980825,0.001554179,0.001283829
3.83291,0.001490423,0.001607012,0.001587488,0.000936964,0.001330633,0.000966123,0.001262534,0.000927997,0.001451182,0.001227023
3.83165,0.001402803,0.001546751,0.00153666,0.000882836,0.001253879,0.000918938,0.001193219,0.000863326,0.001339429,0.001151127
3.8304,0.001306912,0.001462414,0.001462181,0.000826095,0.001172683,0.000870713,0.001118849,0.000793595,0.00123366,0.001063925
3.82915,0.001213809,0.001360644,0.001368154,0.000773131,0.001094181,0.000824648,0.001046669,0.00072638,0.001147421,0.000975584
3.8279,0.001134079,0.001252773,0.001265529,0.00072937,0.001024029,0.00078332,0.000983458,0.000667493,0.001086833,0.000894783
3.82665,0.001073755,0.001151258,0.001167414,0.000696676,0.000964284,0.000747771,0.000932685,0.000619348,0.001048491,0.000826674
3.8254,0.001032711,0.001066349,0.001084438,0.000672229,0.000912303,0.000717134,0.000892728,0.000579848,0.001021444,0.00077146
3.82414,0.001004319,0.00100091,0.001019951,0.000649464,0.000861773,0.000689117,0.000857706,0.000542677,0.000991091,0.000723782
3.82289,0.000976017,0.000947076,0.00096742,0.000621246,0.000806533,0.000660682,0.000820313,0.000500743,0.000944804,0.000675627
3.82164,0.00093375,0.000891139,0.000914531,0.000584028,0.000744898,0.000628679,0.000774955,0.000451199,0.00087866,0.000622539
3.82039,0.0008708,0.000824829,0.000853064,0.000539994,0.000680437,0.000591139,0.000719989,0.000397372,0.000800064,0.000567117
3.81914,0.000793277,0.000751755,0.000785409,0.000494888,0.000618402,0.000548914,0.000658417,0.000345209,0.000721701,0.0005152
3.81789,0.00071504,0.000681966,0.000720587,0.00045348,0.000561683,0.000505694,0.000596124,0.000298151,0.0006517,0.000468923
3.81663,0.000646563,0.000621656,0.000664636,0.000416991,0.000510047,0.000465504,0.000537974,0.000255712,0.000589873,0.0004249
3.81538,0.00058931,0.000569472,0.000616304,0.000384231,0.000462066,0.000430067,0.000484844,0.000216025,0.00053232,0.00037866
3.81413,0.000539115,0.000520893,0.000570871,0.000354012,0.000416901,0.000398648,0.000434369,0.000178492,0.000476994,0.000329324
3.81288,0.000492088,0.000473317,0.000525409,0.000326213,0.000374929,0.00036985,0.00038424,0.000144216,0.00042486,0.000279979
3.81163,0.000447199,0.000427395,0.000480247,0.000301444,0.000337689,0.000343133,0.000334432,0.000115029,0.000378034,0.000235156
3.81038,0.000405704,0.00038607,0.000437884,0.000280503,0.000307297,0.000319097,0.000287176,9.24E-05,0.000338375,0.000198366
3.80912,0.000369619,0.000352949,0.000401658,0.000264065,0.000285428,0.000299007,0.000245793,7.67E-05,0.000307167,0.00017098
3.80787,0.000340189,0.000330434,0.000374487,0.000252532,0.000272722,0.000284064,0.00021345,6.78E-05,0.000285484,0.00015273
3.80662,0.000317412,0.000318866,0.000357991,0.000246155,0.000269078,0.000274675,0.000192031,6.54E-05,0.000274852,0.000143376
3.80537,0.000301288,0.000317709,0.000352829,0.000245129,0.000274031,0.00027029,0.000181563,6.96E-05,0.000276911,0.00014367
3.80412,0.000293019,0.000326831,0.000359344,0.000249219,0.000286471,0.000270033,0.000180509,7.99E-05,0.000291179,0.000153934
3.80287,0.000293747,0.000345496,0.000376701,0.000257262,0.000304393,0.000273419,0.000186425,9.46E-05,0.000312987,0.000171757
3.80161,0.00030189,0.000370442,0.000401485,0.000267737,0.000326019,0.000280507,0.000196646,0.000112002,0.000335324,0.000192482
3.80036,0.000313192,0.000397116,0.000428899,0.000280813,0.000352393,0.000291889,0.00020954,0.000133224,0.000355283,0.000213815
3.79911,0.000325463,0.000425191,0.000457708,0.000300586,0.000389683,0.000309232,0.000226749,0.000164338,0.000380505,0.00024113
3.79786,0.000344742,0.000464006,0.000495181,0.000335278,0.00044867,0.000335955,0.000255042,0.000215468,0.000429553,0.000288458
3.79661,0.00038738,0.000532366,0.00055711,0.000393874,0.000539966,0.000376706,0.000305103,0.000296228,0.000523527,0.0003726
3.79536,0.00047473,0.000650334,0.000660761,0.000479853,0.000665941,0.000435133,0.000386085,0.000408348,0.000671343,0.000501592
3.7941,0.000620238,0.000824825,0.000812433,0.000585325,0.000814187,0.000511179,0.000498534,0.000539567,0.000856499,0.00066323
3.79285,0.000813868,0.001036111,0.0009956,0.00069089,0.000959755,0.000599453,0.000630671,0.000665462,0.001037693,0.000824126
3.7916,0.001017023,0.001238607,0.001170784,0.000774737,0.001078424,0.000689741,0.000761434,0.000762488,0.001171075,0.00094688
3.79035,0.001180807,0.001385221,0.001295841,0.000826879,0.001162359,0.000770365,0.000869828,0.000824358,0.001242214,0.001016896
3.7891,0.001280095,0.00146229,0.001357083,0.000856838,0.001223998,0.000833942,0.000946304,0.000866521,0.001278684,0.001054935
